DateID,ProductID,StoreID,CustomerID,QuantityOrderded,OrderAmount,DiscountAmount,Shipping Cost,TotalAmount
20230928,262,62,617,2,754,90.38248766703865,78.72103164774063,584.8964806852207
20160622,499,89,738,16,481,65.37278473123736,72.05524043544676,343.5719748333159
20240707,338,54,204,14,405,33.19736216618772,57.089630250220054,314.71300758359223
20220528,875,9,827,11,782,72.8140547993436,40.10245169303486,669.0834935076216
20170726,74,6,460,12,872,39.90516057820957,98.80329799223009,733.2915414295603
20220110,380,37,498,20,838,63.222669420196745,52.278334145193554,722.4989964346097
20160527,316,22,887,8,543,63.07608335037654,39.86095895615906,440.0629576934644
20201205,847,66,331,11,793,88.55163623762664,78.48665906702647,625.961704695347
20170308,689,94,965,10,240,29.24282251171722,23.177051177138644,187.58012631114414
20150125,971,59,924,3,202,8.188834032133933,27.79696973488087,166.0141962329852
20210519,1,86,672,5,634,16.80992339187512,36.854231111607355,580.3358454965175
20240221,533,41,530,7,814,26.42232139406502,68.78820037677252,718.7894782291625
20170530,158,45,179,9,801,92.57273446759534,115.91949051236178,592.5077750200429
20191115,657,54,890,1,922,28.129187783527946,126.73555294153248,767.1352592749396
20171116,76,50,20,12,744,91.99019066919614,80.141215281127,571.8685940496769
20200901,627,99,40,14,826,75.44533258059087,116.76705905680447,633.7876083626047
20140609,244,9,238,17,783,17.851724522887064,52.34869963310542,712.7995758440076
20190826,408,39,702,19,835,30.21554919309806,63.408652700921245,741.3757981059807
20161206,716,29,547,3,752,48.57767830688194,47.640762426476684,655.7815592666414
20140822,552,3,637,19,983,86.10602500526552,68.39210890352071,828.5018660912137
20140122,247,1,729,15,881,117.39919176143563,47.474388050966745,716.1264201875977
20150915,999,61,628,9,433,59.37050592966139,22.783945678237234,350.84554839210136
20230621,967,40,243,15,536,14.068987118577603,65.4780122169899,456.45300066443247
20200513,603,72,488,5,543,39.35435594465414,42.13717350751089,461.508470547835
20240108,510,34,251,10,498,25.047292278502514,64.57278097346844,408.37992674802905
20190621,87,12,804,15,390,36.56317770973105,34.43302454013901,319.00379775012993
20141122,314,58,229,12,769,48.82007625734975,99.90460950405877,620.2753142385915
20160111,521,58,222,13,928,78.4383358378286,55.85481763877407,793.7068465233973
20200507,705,38,836,15,149,11.105150164467604,15.647554264443977,122.24729557108842
20210618,771,67,926,16,946,71.12802674433793,107.49996467515368,767.3720085805085
20211011,105,13,534,12,821,76.80206317973416,65.56627965459234,678.6316571656735
20231230,365,50,937,16,898,26.203928370226855,123.5019350337282,748.294136596045
20240205,336,97,405,20,353,16.396041685369454,31.02707838278572,305.5768799318448
20201230,411,77,306,14,537,76.92501623078005,33.74559022326761,426.32939354595237
20180108,580,26,73,8,364,29.530510773658996,43.46875457945832,291.0007346468827
20141230,70,1,749,10,986,37.54273170053888,62.69470955866941,885.7625587407917
20171104,707,71,833,4,532,19.986297443145524,27.427911740943824,484.5857908159106
20190318,958,80,201,3,576,71.5948865638496,33.678903901610354,470.72620953454003
20230814,809,96,246,20,691,98.7352300398995,53.435863919776025,538.8289060403245
20140208,201,95,187,8,975,59.6834335668358,72.87081638925021,842.445750043914
20181010,796,54,171,1,180,17.23133826411404,15.292267913617113,147.47639382226885
20181127,324,64,686,20,454,22.266327916557792,54.567847100899186,377.16582498254303
20160314,929,56,567,4,824,56.78496922190396,46.468782756808956,720.7462480212871
20190703,199,40,111,17,647,25.9133751558008,96.3152027923691,524.7714220518301
20180623,199,20,88,14,741,79.46633958952637,81.41396326566007,580.1196971448136
